
,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1,2012-09-09,24-121,PHI,@,CLE,W 17-16,14,7,96,13.71,1,1,6
2,2,2012-09-16,24-128,PHI,,BAL,W 24-23,1,1,23,23.00,1,1,6
3,4,2012-09-30,24-142,PHI,,NYG,W 19-17,3,1,7,7.00,0,0,0
4,5,2012-10-07,24-149,PHI,@,PIT,L 14-16,8,5,39,7.80,0,0,0
5,6,2012-10-14,24-156,PHI,,DET,L 23-26,10,6,130,21.67,1,1,6
6,7,2012-10-28,24-170,PHI,,ATL,L 17-30,10,6,33,5.50,0,0,0
7,8,2012-11-05,24-178,PHI,@,NOR,L 13-28,4,2,28,14.00,0,0,0
8,9,2012-11-11,24-184,PHI,,DAL,L 23-38,12,8,93,11.63,1,1,6
9,10,2012-11-18,24-191,PHI,@,WAS,L 6-31,3,0,0,,0,0,0
10,11,2012-11-26,24-199,PHI,,CAR,L 22-30,7,5,55,11.00,0,0,0
11,12,2012-12-02,24-205,PHI,@,DAL,L 33-38,5,3,38,12.67,0,0,0
12,13,2012-12-09,24-212,PHI,@,TAM,W 23-21,13,9,104,11.56,1,1,6
13,14,2012-12-13,24-216,PHI,,CIN,L 13-34,9,4,73,18.25,0,0,0
14,15,2012-12-23,24-226,PHI,,WAS,L 20-27,14,8,116,14.50,1,1,6
15,16,2012-12-30,24-233,PHI,@,NYG,L 7-42,9,4,22,5.50,1,1,6
,,15 Games,,,,,4-11-0,122,69,857,12.42,7,7,42
